epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1183.3,0.50711,0.30698,0.85628,0.99888,0.98853,0.99188,0.918,0.41188,0.24244,0.82721,0.000725094,0.000725094,0.000725094
55,1205.03,0.50963,0.31023,0.86084,0.998,0.98873,0.99125,0.90645,0.42447,0.2405,0.82878,0.000715761,0.000715761,0.000715761
56,1226.65,0.4958,0.30583,0.85929,0.99833,0.98647,0.99121,0.94113,0.38289,0.23525,0.82339,0.000706335,0.000706335,0.000706335
57,1248.63,0.49153,0.30545,0.86349,0.99879,0.98946,0.99107,0.90118,0.4561,0.23991,0.83123,0.00069682,0.00069682,0.00069682
58,1270.21,0.47769,0.29249,0.856,0.99907,0.98967,0.9916,0.91766,0.40266,0.2347,0.8279,0.000687222,0.000687222,0.000687222
59,1292.02,0.48745,0.29785,0.85717,0.99875,0.98873,0.99086,0.93247,0.38164,0.24625,0.81943,0.000677543,0.000677543,0.000677543
60,1314.98,0.4867,0.28901,0.85638,0.99842,0.98873,0.99236,0.93462,0.38073,0.2317,0.82121,0.000667789,0.000667789,0.000667789
61,1336.87,0.48225,0.29289,0.85703,0.9984,0.98873,0.99218,0.93675,0.37071,0.23801,0.82164,0.000657963,0.000657963,0.000657963
62,1358.76,0.47083,0.28594,0.8505,0.99729,0.98873,0.99207,0.91552,0.45742,0.23772,0.82701,0.000648071,0.000648071,0.000648071
63,1380.33,0.49557,0.2988,0.86211,0.98965,0.98609,0.99055,0.93352,0.35869,0.22278,0.82073,0.000638115,0.000638115,0.000638115
64,1401.8,0.48486,0.29375,0.85231,0.99891,0.98963,0.99247,0.92651,0.38823,0.21538,0.82068,0.000628101,0.000628101,0.000628101
65,1423.58,0.47549,0.28712,0.85545,0.99887,0.99004,0.99218,0.93365,0.38071,0.22031,0.82355,0.000618034,0.000618034,0.000618034
66,1445.42,0.48098,0.2908,0.84995,0.99822,0.98936,0.99167,0.93999,0.37608,0.22811,0.81855,0.000607916,0.000607916,0.000607916
67,1467.96,0.47248,0.28816,0.85356,0.9895,0.98924,0.99216,0.89343,0.49596,0.23949,0.82824,0.000597754,0.000597754,0.000597754
68,1489.95,0.46325,0.2816,0.85185,0.99963,0.99083,0.99169,0.90549,0.43703,0.23864,0.82335,0.000587551,0.000587551,0.000587551
69,1504.3,0.47183,0.29169,0.84932,1,0.98881,0.99114,0.90659,0.40437,0.23971,0.82415,0.000577311,0.000577311,0.000577311
70,1516.01,0.47024,0.28359,0.85234,0.99501,0.9893,0.99188,0.92492,0.38284,0.23214,0.82441,0.00056704,0.00056704,0.00056704
71,1527.7,0.45929,0.28162,0.84998,0.99804,0.99138,0.99202,0.91501,0.43755,0.22461,0.82407,0.000556742,0.000556742,0.000556742
72,1539.42,0.46042,0.28029,0.84959,0.99798,0.99062,0.99226,0.93006,0.39534,0.21349,0.81769,0.000546421,0.000546421,0.000546421
73,1551.11,0.46081,0.28,0.85166,0.99775,0.98994,0.9922,0.94139,0.36265,0.21872,0.81768,0.000536081,0.000536081,0.000536081
74,1562.91,0.45313,0.27953,0.84968,0.99897,0.98945,0.9914,0.9292,0.38955,0.21637,0.8215,0.000525728,0.000525728,0.000525728
75,1574.64,0.43219,0.27094,0.8379,0.99919,0.98933,0.99188,0.93988,0.3487,0.20479,0.81726,0.000515366,0.000515366,0.000515366
76,1586.35,0.45528,0.27577,0.84798,0.98986,0.98873,0.99059,0.92312,0.37975,0.22101,0.82128,0.000505,0.000505,0.000505
77,1597.99,0.45207,0.28007,0.84941,0.9857,0.98636,0.99069,0.9329,0.39204,0.21964,0.81767,0.000494634,0.000494634,0.000494634
78,1609.71,0.44007,0.26916,0.84831,0.99748,0.98962,0.99215,0.95087,0.3464,0.20965,0.81526,0.000484272,0.000484272,0.000484272
79,1621.49,0.43662,0.26935,0.84987,0.99881,0.99004,0.99215,0.94469,0.34895,0.2208,0.81673,0.000473919,0.000473919,0.000473919
80,1633.16,0.43913,0.26994,0.84582,0.99787,0.98873,0.99223,0.94555,0.36214,0.218,0.82026,0.000463579,0.000463579,0.000463579
81,1644.82,0.4408,0.26838,0.85005,0.9982,0.98873,0.99247,0.94565,0.35924,0.21704,0.81778,0.000453258,0.000453258,0.000453258
82,1656.48,0.45173,0.27391,0.85477,0.99747,0.98873,0.99226,0.92667,0.39916,0.22649,0.82212,0.00044296,0.00044296,0.00044296
83,1668.12,0.43125,0.26138,0.84339,0.98998,0.98609,0.99125,0.93884,0.33899,0.21272,0.8133,0.000432689,0.000432689,0.000432689
84,1679.8,0.4319,0.27014,0.83871,0.99894,0.98934,0.99197,0.94302,0.34772,0.2167,0.81167,0.000422449,0.000422449,0.000422449
85,1691.53,0.42976,0.26409,0.8433,1,0.98944,0.99215,0.92842,0.39395,0.22225,0.81273,0.000412246,0.000412246,0.000412246
86,1703.22,0.42785,0.26247,0.84317,0.99961,0.9898,0.9922,0.94654,0.34337,0.21354,0.81385,0.000402084,0.000402084,0.000402084
87,1714.86,0.43254,0.26465,0.84177,0.99855,0.98895,0.99192,0.93228,0.39282,0.2057,0.82273,0.000391966,0.000391966,0.000391966
88,1726.54,0.43477,0.26949,0.84787,0.99911,0.98873,0.99223,0.94364,0.34383,0.21679,0.81457,0.000381899,0.000381899,0.000381899
89,1738.2,0.41864,0.25612,0.8361,0.99871,0.987,0.9922,0.94097,0.36318,0.20888,0.81516,0.000371885,0.000371885,0.000371885
90,1749.87,0.41915,0.25595,0.84691,0.99951,0.987,0.9924,0.94785,0.32837,0.198,0.81274,0.000361929,0.000361929,0.000361929
91,1761.5,0.41878,0.25397,0.84423,0.99977,0.98693,0.99209,0.94609,0.33444,0.19575,0.81635,0.000352037,0.000352037,0.000352037
92,1773.17,0.41286,0.2506,0.8364,0.98947,0.98873,0.99206,0.94794,0.32626,0.20383,0.81097,0.000342211,0.000342211,0.000342211
93,1784.86,0.40865,0.25019,0.84049,0.98969,0.98873,0.99173,0.94701,0.34243,0.20636,0.81569,0.000332457,0.000332457,0.000332457
94,1796.52,0.39505,0.2405,0.83635,1,0.98679,0.99209,0.94759,0.33939,0.19281,0.81414,0.000322778,0.000322778,0.000322778
95,1808.19,0.40026,0.24543,0.8348,1,0.98634,0.99233,0.93583,0.35435,0.19454,0.8152,0.00031318,0.00031318,0.00031318
96,1819.87,0.40159,0.24122,0.84204,1,0.98731,0.9923,0.9556,0.314,0.18758,0.81299,0.000303665,0.000303665,0.000303665
